idx,a,b,prefix,io,s,io_id,s_id,t_star,n_edges_S,logit_diff_full,logit_diff_ablate_S,drop_S,drop_random_mean,drop_random_std,seed
0,John,Mary,"When John and Mary went to the store, John gave a drink to", Mary, John,5335,1757,14,195,3.1721878051757812,-0.39406490325927734,3.5662527084350586,-0.07435216903686523,0.18841614613165053,0
1,Mary,John,"When Mary and John went to the store, Mary gave a drink to", John, Mary,1757,5335,14,195,2.4786901473999023,1.0435152053833008,1.4351749420166016,-0.0007384300231933593,0.13065799923278315,1000
2,Alice,Bob,"When Alice and Bob went to the store, Alice gave a drink to", Bob, Alice,5811,14862,14,195,3.096220016479492,-0.4499540328979492,3.5461740493774414,-0.03295679092407226,0.31902683527682835,2000
3,Bob,Alice,"When Bob and Alice went to the store, Bob gave a drink to", Alice, Bob,14862,5811,14,195,3.8910112380981445,0.019496917724609375,3.871514320373535,0.20555830001831055,0.45985029805533967,3000
4,Tom,Sarah,"When Tom and Sarah went to the store, Tom gave a drink to", Sarah, Tom,10490,4186,14,195,5.348816871643066,-3.2992324829101562,8.648049354553223,0.06653146743774414,0.2595990483509083,4000
5,Sarah,Tom,"When Sarah and Tom went to the store, Sarah gave a drink to", Tom, Sarah,4186,10490,14,195,5.460182189941406,1.0466089248657227,4.413573265075684,0.21182680130004883,0.3067428759989741,5000
6,James,Emily,"When James and Emily went to the store, James gave a drink to", Emily, James,17608,3700,14,195,5.5529327392578125,-1.0199699401855469,6.572902679443359,-0.07574529647827148,0.23602230935695376,6000
7,Emily,James,"When Emily and James went to the store, Emily gave a drink to", James, Emily,3700,17608,14,195,5.588315963745117,-1.5802879333496094,7.168603897094727,0.6206532478332519,0.8320133172059253,7000
8,David,Lisa,"When David and Lisa went to the store, David gave a drink to", Lisa, David,15378,3271,14,195,5.373960494995117,0.8788995742797852,4.495060920715332,0.2189021110534668,0.4162721411738044,8000
9,Lisa,David,"When Lisa and David went to the store, Lisa gave a drink to", David, Lisa,3271,15378,14,195,3.01922607421875,-1.2176589965820312,4.236885070800781,0.12902193069458007,0.44637269623761383,9000
10,Paul,Anna,"When Paul and Anna went to the store, Paul gave a drink to", Anna, Paul,11735,3362,14,195,5.342960357666016,-0.13718414306640625,5.480144500732422,-0.5649844169616699,0.7696790340151055,10000
11,Anna,Paul,"When Anna and Paul went to the store, Anna gave a drink to", Paul, Anna,3362,11735,14,195,3.6474075317382812,-0.42051219940185547,4.067919731140137,-0.04807338714599609,0.28198489002970845,11000
12,Mark,Laura,"When Mark and Laura went to the store, Mark gave a drink to", Laura, Mark,16753,2940,14,195,5.499006271362305,-0.7365150451660156,6.23552131652832,0.013140296936035157,0.24389249617122266,12000
13,Laura,Mark,"When Laura and Mark went to the store, Laura gave a drink to", Mark, Laura,2940,16753,14,195,3.8763723373413086,-0.8498430252075195,4.726215362548828,-0.3065913200378418,0.9256903320442682,13000
14,Chris,Emma,"When Chris and Emma went to the store, Chris gave a drink to", Emma, Chris,18966,5180,14,195,4.8177642822265625,-0.8371419906616211,5.654906272888184,0.6141304016113281,1.1546527678445615,14000
15,Emma,Chris,"When Emma and Chris went to the store, Emma gave a drink to", Chris, Emma,5180,18966,14,195,3.527088165283203,-0.9600982666015625,4.487186431884766,-0.01990337371826172,0.581430391392177,15000
16,Sam,Kate,"When Sam and Kate went to the store, Sam gave a drink to", Kate, Sam,16693,3409,14,195,4.494112968444824,-1.6501083374023438,6.144221305847168,0.14329910278320312,0.4779859258258178,16000
17,Kate,Sam,"When Kate and Sam went to the store, Kate gave a drink to", Sam, Kate,3409,16693,14,195,4.475028991699219,2.2879467010498047,2.187082290649414,-0.015015029907226562,0.9025438424012986,17000
18,Dan,Ruth,"When Dan and Ruth went to the store, Dan gave a drink to", Ruth, Dan,22132,6035,14,195,5.3193769454956055,-1.5155677795410156,6.834944725036621,-0.1039015769958496,0.38783679000403737,18000
19,Ruth,Dan,"When Ruth and Dan went to the store, Ruth gave a drink to", Dan, Ruth,6035,22132,14,195,7.2918548583984375,2.404953956604004,4.886900901794434,0.5783559799194335,1.0006836967148627,19000
20,Joe,Amy,"When Joe and Amy went to the store, Joe gave a drink to", Amy, Joe,14235,5689,14,195,6.760139465332031,-2.4276514053344727,9.187790870666504,0.2289179801940918,0.5825708638864446,20000
21,Amy,Joe,"When Amy and Joe went to the store, Amy gave a drink to", Joe, Amy,5689,14235,14,195,5.2674713134765625,0.5604667663574219,4.707004547119141,0.11857414245605469,0.3963915647568284,21000
22,Tim,Nina,"When Tim and Nina went to the store, Tim gave a drink to", Nina, Tim,36300,5045,14,195,6.203607559204102,-2.4419469833374023,8.645554542541504,0.3545993804931641,0.5075720277011877,22000
